model,MS,SP,ER,HV,C,HV/C
rec_EASER_cutoff_10_relthreshold_1_2024_02_21_16_45_40,0.0,0.0,0.05,1.8541693004547718e-06,1,1.8541693004547718e-06
rec_iALS_cutoff_10_relthreshold_1_2024_02_24_10_09_46,0.08017603512218573,0.006655466463307539,0.5,0.0006911059676863206,5,0.00013822119353726413
rec_ItemKNN_cutoff_10_relthreshold_1_2024_02_21_23_03_27,0.05962156729304342,0.009803268553520993,0.65,0.0005854221045897875,13,4.503246958382981e-05
rec_NeuMF_cutoff_10_relthreshold_1_2024_02_24_17_38_36,0.03998337533508707,0.0025209888581211935,0.4444444444444444,0.0006724344512126321,4,0.00016810861280315803
rec_RP3beta_cutoff_10_relthreshold_1_2024_02_21_16_25_22,0.24010894452815335,0.026505124560102122,0.3,0.0007030410714699458,6,0.00011717351191165763
rec_UserKNN_cutoff_10_relthreshold_1_2024_02_21_22_38_26,0.15683663487296778,0.029747298158922107,0.9,0.000653649577633943,18,3.631386542410795e-05
