model	nDCG	APLT
RP3beta_neighborhood=145_alpha=0$041871285935235036_beta=1$0417890713342899_normalize_similarity=True	0.0011796633118045	1.0
RP3beta_neighborhood=386_alpha=1$3164191024386838_beta=0$9795553011672764_normalize_similarity=True	0.0022623474385186	0.9702980132450332
RP3beta_neighborhood=479_alpha=0$890302470562176_beta=0$9703151266522991_normalize_similarity=True	0.0038799926728325	0.9249668874172186
RP3beta_neighborhood=778_alpha=1$9322074458641305_beta=0$7847133548675806_normalize_similarity=False	0.0045827695529276	0.892135761589404
RP3beta_neighborhood=350_alpha=1$492200236256618_beta=0$40357825944751835_normalize_similarity=False	0.0253552662605133	0.4201158940397351
RP3beta_neighborhood=108_alpha=1$7064374496694794_beta=0$6170840765435743_normalize_similarity=True	0.0589398772261798	0.238228476821192
RP3beta_neighborhood=137_alpha=1$9688014959939781_beta=0$22290825093487943_normalize_similarity=True	0.0722913664017494	0.0471523178807947
RP3beta_neighborhood=496_alpha=0$44477903655656115_beta=0$5968193614337285_normalize_similarity=True	0.0864813733498382	0.0156622516556291
RP3beta_neighborhood=803_alpha=0$45173389278169385_beta=0$18291155770623035_normalize_similarity=True	0.0920861079228404	0.0003807947019867
