model	metric	value
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	Gini	0.1045121039842759
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	ItemCoverage	1372.0
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	EPC	0.06868576456072316
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	EFD	0.7872091482695794
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	APLT	0.02783112582781457
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	ARP	1118.5005298013245
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	nDCG	0.07258528278647405
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	Recall	0.04828422727696309
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	Precision	0.08640728476821191
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	Gini	0.09683296142811648
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	ItemCoverage	1279.0
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	EPC	0.07163166223039329
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	EFD	0.8227528172261922
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	APLT	0.025430463576158944
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	ARP	1151.7888907284769
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	nDCG	0.06804070062665588
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	Recall	0.04635169236006708
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	Precision	0.0797682119205298
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	Gini	0.12183478752847332
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	ItemCoverage	1516.0
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	EPC	0.06723144600256603
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	EFD	0.7701959957312478
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	APLT	0.03895695364238411
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	ARP	1055.879586092715
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	nDCG	0.07435946805852287
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	Recall	0.04920203573537044
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	Precision	0.08766556291390729
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=32_drop=0_mftrain=True_mlptrain=True_m=4	Gini	0.08694363577636721
